song_id,artist_name,song_name,popularity,energy,valence,danceability,explicit,loudness,duration_ms
Chubby Checker - Dancin' Party,Chubby Checker,Dancin' Party,46,0.903,0.97,0.664,0,-4.389,128000
Chubby Checker - Let's Twist Again,Chubby Checker,Let's Twist Again,69,0.74,0.961,0.61,0,-8.515,139200
Chubby Checker - Limbo Rock,Chubby Checker,Limbo Rock,46,0.804,0.968,0.775,0,-4.911,144520
Chubby Checker - Pony Time,Chubby Checker,Pony Time,41,0.587,0.961,0.488,0,-8.492,150840
Chubby Checker - Slow Twistin',Chubby Checker,Slow Twistin',40,0.711,0.905,0.753,0,-5.181,153040
Chubby Checker - The Hucklebuck,Chubby Checker,The Hucklebuck,42,0.618,0.924,0.538,0,-8.651,153826
Chubby Checker - The Twist,Chubby Checker,The Twist,64,0.573,0.953,0.507,0,-8.064,156773
Commodores - Brick House,Commodores,Brick House,67,0.782,0.631,0.831,0,-10.48,208893
Commodores - Easy,Commodores,Easy,79,0.384,0.354,0.589,0,-15.075,256426
Commodores - Lady (You Bring Me Up),Commodores,Lady (You Bring Me Up),57,0.593,0.867,0.892,0,-9.429,293226
Commodores - Machine Gun,Commodores,Machine Gun,51,0.97,0.778,0.741,0,-6.364,159466
Commodores - Nightshift,Commodores,Nightshift,66,0.559,0.393,0.727,0,-10.194,306560
Commodores - Sail On,Commodores,Sail On,54,0.334,0.451,0.487,0,-18.35,332186
Commodores - Still,Commodores,Still,52,0.0557,0.237,0.293,0,-21.031,347093
Commodores - Three Times A Lady,Commodores,Three Times A Lady,57,0.094,0.0788,0.487,0,-19.555,398506
Commodores - Zoom,Commodores,Zoom,50,0.314,0.573,0.475,0,-13.08,404133
Connie Francis - Everybody's Somebody's Fool,Connie Francis,Everybody's Somebody's Fool,51,0.737,0.753,0.584,0,-4.643,157880
Connie Francis - Fallin',Connie Francis,Fallin',43,0.678,0.876,0.594,0,-7.621,133533
Connie Francis - Lipstick On Your Collar,Connie Francis,Lipstick On Your Collar,45,0.884,0.901,0.538,0,-7.74,138933
Connie Francis - Stupid Cupid,Connie Francis,Stupid Cupid,57,0.794,0.968,0.609,0,-4.739,133746
Connie Francis - Where The Boys Are,Connie Francis,Where The Boys Are,48,0.408,0.378,0.366,0,-4.85,157586
Connie Francis - Who's Sorry Now,Connie Francis,Who's Sorry Now,59,0.326,0.443,0.522,0,-6.448,136626
Connie Francis - You're Gonna Miss Me,Connie Francis,You're Gonna Miss Me,52,0.262,0.421,0.327,0,-9.49,164413
"Destiny's Child - Bills, Bills, Bills",Destiny's Child,"Bills, Bills, Bills",72,0.587,0.449,0.849,0,-5.192,256026
Destiny's Child - Bootylicious,Destiny's Child,Bootylicious,65,0.833,0.586,0.835,0,-4.364,207733
Destiny's Child - Brown Eyes,Destiny's Child,Brown Eyes,63,0.573,0.313,0.566,0,-7.21,276093
Destiny's Child - Cater 2 U,Destiny's Child,Cater 2 U,61,0.584,0.464,0.605,0,-7.043,245400
"Destiny's Child - Independent Women, Pt. 1",Destiny's Child,"Independent Women, Pt. 1",66,0.598,0.922,0.517,0,-3.751,221626
"Destiny's Child - Jumpin', Jumpin'",Destiny's Child,"Jumpin', Jumpin'",72,0.677,0.684,0.775,0,-4.632,230200
Destiny's Child - Lose My Breath,Destiny's Child,Lose My Breath,63,0.899,0.545,0.814,0,-5.958,242013
Destiny's Child - Say My Name,Destiny's Child,Say My Name,82,0.676,0.746,0.522,0,-3.571,271333
Destiny's Child - Soldier (feat. T.I. & Lil' Wayne),Destiny's Child,Soldier (feat. T.I. & Lil' Wayne),62,0.417,0.904,0.878,0,-6.799,325573
Destiny's Child - Survivor,Destiny's Child,Survivor,71,0.904,0.655,0.524,0,-2.071,254040
Diana Ross - Chain Reaction,Diana Ross,Chain Reaction,44,0.6,0.756,0.806,0,-9.642,227880
Diana Ross - I'm Coming Out,Diana Ross,I'm Coming Out,71,0.828,0.768,0.72,0,-9.211,323346
"Diana Ross - Stop, Look, Listen (To Your Heart)",Diana Ross,"Stop, Look, Listen (To Your Heart)",54,0.383,0.556,0.592,0,-10.929,177786
Diana Ross - The Boss,Diana Ross,The Boss,56,0.905,0.825,0.639,0,-4.215,241333
Diana Ross - Theme From Mahogany (Do You Know Where You're Going To) - Single Version,Diana Ross,Theme From Mahogany (Do You Know Where You're Going To) - Single Version,48,0.304,0.327,0.324,0,-15.007,203226
Diana Ross - Touch Me In The Morning,Diana Ross,Touch Me In The Morning,54,0.408,0.507,0.423,0,-12.256,206866
Diana Ross - Upside Down,Diana Ross,Upside Down,70,0.855,0.884,0.873,0,-8.559,245600
Diana Ross - You Are Everything,Diana Ross,You Are Everything,56,0.525,0.495,0.521,0,-9.581,190440
"Dion - Abraham, Martin And John",Dion,"Abraham, Martin And John",45,0.285,0.176,0.474,0,-8.398,178706
Dion - Dancing Girl,Dion,Dancing Girl,38,0.852,0.812,0.758,0,-3.402,252400
Dion - Donna the Prima Donna,Dion,Donna the Prima Donna,41,0.556,0.939,0.331,0,-10.672,168346
Dion - Dream Lover,Dion,Dream Lover,54,0.525,0.891,0.358,0,-10.077,138666
Dion - Life Is But A Dream,Dion,Life Is But A Dream,41,0.33,0.473,0.195,0,-11.291,155893
Dion - Lovers Who Wander,Dion,Lovers Who Wander,43,0.701,0.616,0.56,0,-6.572,237573
Dion - Only You Know,Dion,Only You Know,44,0.595,0.607,0.576,0,-10.517,285613
Dion - Ruby Baby,Dion,Ruby Baby,36,0.778,0.712,0.637,0,-4.921,288146
Dion - Runaround Sue,Dion,Runaround Sue,71,0.906,0.708,0.648,0,-3.653,268933
Dion - The Wanderer,Dion,The Wanderer,65,0.817,0.886,0.645,0,-2.908,192026
Dionne Warwick - Anyone Who Had a Heart,Dionne Warwick,Anyone Who Had a Heart,46,0.298,0.294,0.482,0,-10.24,185341
Dionne Warwick - Do You Know the Way to San Jose,Dionne Warwick,Do You Know the Way to San Jose,50,0.792,0.907,0.746,0,-5.867,335666
Dionne Warwick - Heartbreaker,Dionne Warwick,Heartbreaker,60,0.514,0.803,0.671,0,-13.561,258266
Dionne Warwick - I Say a Little Prayer,Dionne Warwick,I Say a Little Prayer,52,0.415,0.714,0.512,0,-7.642,188360
Dionne Warwick - I'll Never Fall in Love Again,Dionne Warwick,I'll Never Fall in Love Again,60,0.339,0.756,0.676,0,-13.805,174840
Dionne Warwick - I'll Never Love This Way Again,Dionne Warwick,I'll Never Love This Way Again,64,0.511,0.359,0.61,0,-5.634,260000
Dionne Warwick - Raindrops Keep Falling on My Head,Dionne Warwick,Raindrops Keep Falling on My Head,47,0.157,0.378,0.691,0,-13.711,179040
"Dionne Warwick - That's What Friends Are For (with Elton John, Gladys Knight & Stevie Wonder)",Dionne Warwick,"That's What Friends Are For (with Elton John, Gladys Knight & Stevie Wonder)",56,0.242,0.169,0.68,0,-16.264,255933
Dionne Warwick - Walk on By,Dionne Warwick,Walk on By,67,0.366,0.678,0.687,0,-8.916,170275
Dionne Warwick - What the World Needs Now (Is Love),Dionne Warwick,What the World Needs Now (Is Love),54,0.289,0.345,0.594,0,-12.747,189893
Donna Summer - Bad Girls,Donna Summer,Bad Girls,62,0.823,0.972,0.851,0,-9.28,295520
Donna Summer - Hot Stuff,Donna Summer,Hot Stuff,69,0.916,0.967,0.825,0,-7.011,315744
"Donna Summer - Hot Stuff - 12"" Version",Donna Summer,"Hot Stuff - 12"" Version",64,0.892,0.965,0.796,0,-8.31,407053
Donna Summer - I Feel Love,Donna Summer,I Feel Love,57,0.711,0.961,0.674,0,-15.581,355173
"Donna Summer - I Feel Love - 12"" Version",Donna Summer,"I Feel Love - 12"" Version",61,0.79,0.96,0.692,0,-14.065,495186
Donna Summer - She Works Hard For The Money,Donna Summer,She Works Hard For The Money,60,0.836,0.988,0.747,0,-7.821,319866
Donna Summer - This Time I Know It's for Real,Donna Summer,This Time I Know It's for Real,57,0.948,0.796,0.618,0,-4.974,219137
